source,filename,duration,type
transfer01.zip,rail_station.mp3,64.152,zip
transfer01.zip,Shinjuku_station.mp3,73.06448979591836,zip
transfer01.zip,Shinkansen1.mp3,443.8609375,zip
transfer01.zip,Shinkansen2.mp3,259.6124791666667,zip
transfer01.zip,Shinkansen3.mp3,110.972,zip
transfer01.zip,Shinkansen4.mp3,94.70895833333333,zip
transfer01.zip,Shinkansen5.mp3,126.5994375,zip
transfer01.zip,Shinkansen_arrival.mp3,51.984,zip
transfer01.zip,Shinkansen_siren.mp3,40.68,zip
transfer01.zip,Shinkansen_stn1.mp3,62.136,zip
transfer01.zip,Shinkansen_stn2.mp3,189.168,zip
transfer01.zip,Shinkansen_stopped.mp3,41.23883333333333,zip
transfer01.zip,station_ann.mp3,21.48,zip
transfer01.zip,station_evening1.mp3,28.608,zip
transfer01.zip,station_evening2.mp3,38.976,zip
transfer01.zip,station_ticket_gate1.mp3,137.856,zip
transfer01.zip,station_ticket_gate2.mp3,59.08897916666667,zip
transfer01.zip,stop_bicycle.mp3,3.3726984126984125,zip
transfer01.zip,subway_arrive.mp3,36.984,zip
transfer01.zip,subway_departure.mp3,47.52,zip
transfer01.zip,subway_gate_ent.mp3,76.704,zip
transfer01.zip,subway_slow_down.mp3,24.768,zip
transfer01.zip,subway_speed_up.mp3,28.752,zip
transfer01.zip,subway_ticket_VM1.mp3,15.984,zip
transfer01.zip,subway_ticket_VM2.mp3,33.46366666666667,zip
transfer01.zip,taking_off1.mp3,70.0698185941043,zip
transfer01.zip,taking_off2.mp3,540.3552380952381,zip
transfer01.zip,ticket_vdg_machine.mp3,17.688,zip
transfer01.zip,toll_bar.mp3,25.129795918367346,zip
transfer01.zip,train_pass_by1.mp3,14.262857142857143,zip
transfer01.zip,train_pass_by2.mp3,112.53551020408163,zip
transfer01.zip,train_pass_by3.mp3,74.34448979591836,zip
transfer01.zip,train_pass_by4.mp3,144.16979591836736,zip
transfer01.zip,train_start1.mp3,29.424,zip
transfer01.zip,train_start2.mp3,41.016979166666665,zip
transfer01.zip,unlock_ring_lock.mp3,1.8719274376417234,zip
cooking01.zip,bake_in_oven.mp3,25.488,zip
cooking01.zip,boiling_kettle.mp3,31.161179138321994,zip
cooking01.zip,clear_dishes1.mp3,6.817097505668934,zip
cooking01.zip,clear_dishes2.mp3,24.722403628117913,zip
